Band,Count,Concerts
P-Troll,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Paledusk,1,"         Date                                     Bands  City       Venue
0  14/03/2024  Polaris;Silent Planet;Thornhill;Paledusk  Lyon  La Rayonne"
Mobius,1,"         Date                       Bands  City       Venue
0  19/07/2024  Sat One;Mobius;Talvienkeli  Lyon  Rock N Eat"
Nick Heywood,1,"         Date                                              Bands  City       Venue
0  12/07/2024  Los Disidentes Del Sucio Motel;Left Shore;Nick...  Lyon  Rock N Eat"
1000Mods,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Saor,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Thornhill,1,"         Date                                     Bands  City       Venue
0  14/03/2024  Polaris;Silent Planet;Thornhill;Paledusk  Lyon  La Rayonne"
The Anchoret,1,"         Date                                              Bands   City                  Venue
0  08/09/2024  The Anchoret;Voidchaser;La Corriveau;The Unive...  Lévis  Vieux Bureau De Poste"
The Hillbilly Moon Explosion,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
The Ocean,1,"         Date                   Bands         City               Venue
0  05/05/2018  The Ocean;The Prestige  Rambouillet  L'Usine A Chapeaux"
The Old Dead Tree,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
The Omnific,1,"         Date                                  Bands   City          Venue
0  21/05/2023  Ne Obliviscaris;Persefone;The Omnific  Paris  Le Petit Bain"
The Prestige,1,"         Date                   Bands         City               Venue
0  05/05/2018  The Ocean;The Prestige  Rambouillet  L'Usine A Chapeaux"
The Real McKenzies,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
The Universe Effects,1,"         Date                                              Bands   City                  Venue
0  08/09/2024  The Anchoret;Voidchaser;La Corriveau;The Unive...  Lévis  Vieux Bureau De Poste"
Tribute To Thrash,1,"         Date                                              Bands                City              Venue
0  05/07/2024  Drive North;Blackrain;Beast In Black;Point Mor...  Colombier-Saugnieu  Plane'R Fest 2024"
Sat One,1,"         Date                       Bands  City       Venue
0  19/07/2024  Sat One;Mobius;Talvienkeli  Lyon  Rock N Eat"
Trivium,1,"         Date                                           Bands  City            Venue
0  08/02/2023  Trivium;Heaven Shall Burn;Malevolence;Obituary  Lyon  Le Transbordeur"
Ultra Moule,1,"         Date                                              Bands                       City                Venue
0  05/08/2022  Dead Kiwis;Ultra Moule;Sublime C.D.;Born From ...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Vended,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Villagers Of Ioannina City,1,"         Date                                              Bands                City              Venue
0  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
Voidchaser,1,"         Date                                              Bands   City                  Venue
0  08/09/2024  The Anchoret;Voidchaser;La Corriveau;The Unive...  Lévis  Vieux Bureau De Poste"
Walls Of Jericho,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
While She Sleeps,1,"         Date                           Bands  City            Venue
0  14/05/2023  While She Sleeps;Resolve;Ashen  Lyon  Ninkasi Gerland"
Within Temptation,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
The Amity Affliction,1,"         Date                                              Bands  City            Venue
0  20/06/2023  Lorna Shore;Motionless In White;The Amity Affl...  Lyon  Le Transbordeur"
Thantifaxath,1,"         Date                    Bands   City          Venue
0  20/04/2024  Bell Witch;Thantifaxath  Paris  Le Petit Bain"
Tenacious D,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
